날짜,출연자,소스,값
2025-12-23,윤준모,youtube,11.0
2025-12-23,임성근,datalab,7.28925
2025-12-23,임성근,google,35.0
2025-12-23,임성근,youtube,8.0
2025-12-23,정호영,datalab,45.89073
2025-12-23,정호영,google,74.0
2025-12-23,정호영,youtube,68.0
2025-12-23,최강록,datalab,10.52713
2025-12-23,최강록,google,18.0
2025-12-23,최강록,youtube,24.0
2025-12-23,후덕죽,datalab,48.88654
2025-12-23,후덕죽,google,76.0
2025-12-23,후덕죽,youtube,29.0
2025-12-24,샘킴,datalab,38.64821
2025-12-24,샘킴,google,35.0
2025-12-24,샘킴,youtube,48.0
2025-12-24,선재스님,datalab,61.55408
2025-12-24,선재스님,google,90.0
2025-12-24,선재스님,youtube,49.0
2025-12-24,손종원,datalab,68.86216
2025-12-24,손종원,google,72.0
2025-12-24,손종원,youtube,86.0
2025-12-24,아기맹수,datalab,51.20024
2025-12-24,아기맹수,google,106.0
2025-12-24,아기맹수,youtube,45.0
2025-12-24,요리괴물,datalab,28.14716
2025-12-24,요리괴물,google,55.0
2025-12-24,요리괴물,youtube,75.0
2025-12-24,윤준모,datalab,25.81597
2025-12-24,윤준모,google,0.0
2025-12-24,윤준모,youtube,20.0
2025-12-24,임성근,datalab,26.14167
2025-12-24,임성근,google,69.0
2025-12-24,임성근,youtube,46.0
2025-12-24,정호영,datalab,66.43705
2025-12-24,정호영,google,55.0
2025-12-24,정호영,youtube,88.0
2025-12-24,최강록,datalab,17.89144
2025-12-24,최강록,google,31.0
2025-12-24,최강록,youtube,34.0
2025-12-24,후덕죽,datalab,56.2056
2025-12-24,후덕죽,google,79.0
2025-12-24,후덕죽,youtube,60.0
2025-12-25,샘킴,datalab,51.15944
2025-12-25,샘킴,google,48.0
2025-12-25,샘킴,youtube,36.0
2025-12-25,선재스님,datalab,66.12757
2025-12-25,선재스님,google,69.0
2025-12-25,선재스님,youtube,39.0
2025-12-25,손종원,datalab,91.59236
2025-12-25,손종원,google,85.0
2025-12-25,손종원,youtube,86.0
2025-12-25,아기맹수,datalab,56.84215
2025-12-25,아기맹수,google,55.0
2025-12-25,아기맹수,youtube,36.0
2025-12-25,요리괴물,datalab,26.07016
2025-12-25,요리괴물,google,46.0
2025-12-25,요리괴물,youtube,61.0
2025-12-25,윤준모,datalab,34.6501
2025-12-25,윤준모,google,0.0
2025-12-25,윤준모,youtube,14.0
2025-12-25,임성근,datalab,33.88811
2025-12-25,임성근,google,53.0
2025-12-25,임성근,youtube,41.0
2025-12-25,정호영,datalab,76.16389
2025-12-25,정호영,google,85.0
2025-12-25,정호영,youtube,78.0
2025-12-25,최강록,datalab,23.14718
2025-12-25,최강록,google,33.0
