restaurant,reviewer,review_date,reviewer_rating,day_night
라망시크레,온더락,2025.12.12,4.7,저녁
라망시크레,착한 맛사냥꾼_93345,2025.12.11,4.5,저녁
라망시크레,재능있는 맛사냥꾼_60942,2025.12.11,5.0,저녁
라망시크레,taekey_y,2025.12.10,5.0,저녁
라망시크레,커피프렌즈,2025.12.10,5.0,점심
라망시크레,최고의 셀럽_27321,2025.12.10,5.0,저녁
라망시크레,알찬크랩,2025.12.10,4.5,저녁
라망시크레,서연1210,2025.12.10,5.0,점심
Original Numbers 청담,특별한 셀럽_7923,2026.01.14,4.7,점심
Original Numbers 청담,아남이,2026.01.14,3.2,점심
Original Numbers 청담,kaia~,2026.01.13,5.0,저녁
Original Numbers 청담,SEMO,2026.01.12,5.0,저녁
Original Numbers 청담,갈헵,2026.01.11,4.8,저녁
Original Numbers 청담,영주3,2026.01.11,5.0,점심
Original Numbers 청담,이준혁11,2026.01.11,5.0,점심
Original Numbers 청담,Thankful,2026.01.10,5.0,저녁
Original Numbers 청담,구백사,2026.01.10,5.0,저녁
Original Numbers 청담,ms_piggy,2026.01.10,5.0,점심
Original Numbers 청담,주원쓰야,2026.01.10,5.0,저녁
Original Numbers 청담,zezelover,2026.01.09,5.0,점심
Original Numbers 청담,Unknown,Unknown,Unknown,Unknown
Original Numbers 청담,솔직한 마스터_55672,2026.01.08,5.0,저녁
Original Numbers 청담,도도한 맛사냥꾼_12942,2026.01.08,4.5,저녁
Original Numbers 청담,특별한 미식가_58332,2026.01.08,5.0,저녁
Original Numbers 청담,은둔식객,2026.01.08,5.0,점심
Original Numbers 청담,Woovv,2026.01.08,5.0,점심
Original Numbers 청담,piaozi9,2026.01.08,5.0,저녁
Original Numbers 청담,이제마,2026.01.07,5.0,점심
Original Numbers 청담,제콥리,2026.01.07,5.0,저녁
Original Numbers 청담,일이삼킬러,2026.01.06,5.0,점심
Original Numbers 청담,Isla JY Lee,2026.01.06,5.0,점심
Original Numbers 청담,로젤리로우,2026.01.05,5.0,저녁
Original Numbers 청담,에즈라부인,2026.01.05,5.0,저녁
Original Numbers 청담,성공한 마스터_87578,2026.01.04,5.0,점심
Original Numbers 청담,재능있는 맛사냥꾼_19304,2026.01.04,5.0,점심
Original Numbers 청담,0o0o0o,2026.01.03,4.3,점심
Original Numbers 청담,lsb3724,2026.01.03,5.0,저녁
Original Numbers 청담,빛나는 셀럽_68090,2026.01.03,5.0,저녁
Original Numbers 청담,스무스라잌버러,2026.01.03,5.0,점심
Original Numbers 청담,재미있는 마스터_90904,2026.01.03,4.7,점심
Original Numbers 청담,물먹은양털,2026.01.03,5.0,점심
Original Numbers 청담,웅깅,2026.01.03,5.0,저녁
Original Numbers 청담,shk347,2026.01.02,4.0,저녁
Original Numbers 청담,김이안-,2026.01.02,4.5,점심
Original Numbers 청담,코기야사랑행,2026.01.02,5.0,점심
Original Numbers 청담,아름다운 미식가_15828,2026.01.02,5.0,점심
Original Numbers 청담,개구진 마스터_40400,2026.01.02,5.0,점심
Original Numbers 청담,ㄱ지눈,2026.01.02,4.7,저녁
Original Numbers 청담,재능있는 식도락가_58084,2026.01.02,5.0,저녁
Original Numbers 청담,겨라도스,2026.01.01,5.0,점심
Original Numbers 청담,김맛둥,2025.12.31,5.0,저녁
Original Numbers 청담,보동보동보동,2025.12.31,5.0,저녁
Original Numbers 청담,안나킹,2025.12.31,5.0,점심
Original Numbers 청담,아로새,2025.12.31,4.0,점심
Original Numbers 청담,냐냐은,2025.12.30,5.0,점심
Original Numbers 청담,James 0000,2025.12.30,5.0,저녁
Original Numbers 청담,annajun,2025.12.28,5.0,점심
Original Numbers 청담,우앙ㅇ,2025.12.28,5.0,저녁
Original Numbers 청담,노형래,2025.12.27,5.0,저녁
Original Numbers 청담,복싱하는아랍두부,2025.12.27,5.0,점심
Original Numbers 청담,태희씨 가족,2025.12.27,5.0,저녁
Original Numbers 청담,짱구뉘임,2025.12.27,5.0,점심
Original Numbers 청담,맹주완,2025.12.27,5.0,점심
Original Numbers 청담,OsDrKim,2025.12.27,5.0,저녁
Original Numbers 청담,김준환2,2025.12.27,5.0,점심
Original Numbers 청담,고독한 식도락가_50818,2025.12.27,5.0,점심
Original Numbers 청담,juliemindongju,2025.12.27,4.0,저녁
Original Numbers 청담,경쾌한 셀럽_71525,2025.12.26,5.0,점심
Original Numbers 청담,식객미객,2025.12.26,5.0,저녁
Original Numbers 청담,충주덕배,2025.12.26,4.2,점심
Original Numbers 청담,Minlatable,2025.12.26,5.0,저녁
Original Numbers 청담,갓킹문,2025.12.26,4.7,저녁
Original Numbers 청담,신나는 셀럽_54690,2025.12.26,5.0,점심
Original Numbers 청담,ColdWater12,2025.12.25,5.0,저녁
Original Numbers 청담,신입사원Y,2025.12.25,3.5,저녁
Original Numbers 청담,주데니스,2025.12.25,4.7,저녁
Original Numbers 청담,아름다운 개척가_97652,2025.12.25,5.0,저녁
Original Numbers 청담,네모킴피디,2025.12.25,4.8,점심
Original Numbers 청담,신나는 맛사냥꾼_23293,2025.12.25,5.0,저녁
Original Numbers 청담,ejl****,2025.12.25,4.7,점심
